,categoria,frecuencia,id,nombre,ocurrencias,pais,tipo_1,tipo_2,tipo_3,tipo_4
81,mercado laboral,mensual,LaborFonRate_USA,Labor Force Participation Rate,72,USA,0.0,0.0,0.0,0.0
108,actividad economica,mensual,NFIBBumIndex_USA,NFIB Business Optimism Index,95,USA,0.0,0.0,0.0,0.0
36,mercado inmobiliario,mensual,Nonfartivity_USA,Nonfarm Productivity,120,USA,0.0,0.0,0.0,0.0
73,consumo,mensual,PendinlesYoY_USA,Pending Home Sales YoY,88,USA,0.0,0.0,0.0,0.0
109,consumo,mensual,PersoncesQoQ_USA,Personal Consumption Expenditures Prices QoQ,95,USA,0.0,0.0,0.0,0.0
5,consumo,mensual,Personending_USA,Personal Spending,120,USA,0.0,0.0,0.0,0.0
57,consumo,semanal,PersonomeMoM_USA,Personal Income MoM,237,USA,0.0,0.0,0.0,0.0
113,consumo,trimestral,PrivatingQoQ_MEX,Private Spending QoQ,30,MEX,0.0,0.0,0.0,0.0
83,consumo,trimestral,PrivatingYoY_MEX,Private Spending YoY,30,MEX,0.0,0.0,0.0,0.0
16,consumo,mensual,ProducrgyMoM_USA,Producer Price Index ex Food  Energy MoM,119,USA,0.0,0.0,0.0,0.0
66,consumo,mensual,ProducrgyYoY_USA,Producer Price Index ex Food  Energy YoY,119,USA,0.0,0.0,0.0,0.0
68,consumo,trimestral,RetaillGroup_USA,Retail Sales Control Group,60,USA,0.0,0.0,0.0,0.0
32,consumo,mensual,RetaillesMoM_USA,Retail Sales MoM,104,USA,0.0,0.0,0.0,0.0
44,mercado inmobiliario,mensual,RetaillesYoY_MEX,Retail Sales YoY,104,MEX,0.0,0.0,0.0,0.0
96,actividad economica,mensual,TradeBalance_USA,Trade Balance,119,USA,0.0,0.0,0.0,0.0
12,mercado laboral,mensual,"TradeBlance,_MEX","Trade Balance, ",106,MEX,0.0,0.0,0.0,0.0
97,mercado laboral,mensual,"TradeBncesa,_MEX","Trade Balance sa, ",105,MEX,0.0,0.0,0.0,0.0
65,mercado laboral,mensual,UnitLarCosts_USA,Unit Labor Costs,79,USA,0.0,0.0,0.0,0.0
